Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,WHH,WHD,WHA,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2000-09-09,Barcelona,Malaga,2,1,H,1.28,4.5,8.0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,4.0,8.0,1,1,,,0,0
2000-09-09,La Coruna,Ath Bilbao,2,0,H,1.57,3.5,5.0,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,2.0,12.0,1,1,ND,ND,1,1
2000-09-09,Real Madrid,Valencia,2,1,H,1.66,3.3,4.5,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.0,5.0,1,1,ND,ND,1,1
2000-09-09,Sociedad,Santander,2,2,D,1.8,3.25,3.75,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,13.0,19.0,1,1,ND,ND,1,1
2000-09-09,Zaragoza,Espanol,1,2,A,1.72,3.2,4.33,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,17.0,9.0,1,1,ND,ND,1,1
2000-10-09,Las Palmas,Alaves,0,3,A,2.3,3.1,2.75,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,11.0,10.0,1,1,ND,ND,1,1
2000-10-09,Mallorca,Valladolid,1,1,D,1.72,3.2,4.33,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,3.0,16.0,1,1,ND,ND,1,1
2000-10-09,Numancia,Oviedo,1,0,H,1.9,3.1,3.6,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,20.0,18.0,1,1,ND,ND,1,1
2000-10-09,Osasuna,Celta,0,2,A,,,,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,15.0,6.0,1,1,ND,ND,1,1
2000-10-09,Villarreal,Vallecano,1,5,A,2.25,3.1,2.8,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,7.0,14.0,1,1,ND,ND,1,1
2000-09-16,Ath Bilbao,Barcelona,3,1,H,3.4,3.25,1.9,0,2,2,1,0,3,L,W,M,M,M,M,M,M,M,M,12.0,4.0,2,1,ND,ND,1,1
2000-09-16,Malaga,Real Madrid,3,3,D,3.2,3.2,2.0,1,2,2,1,0,3,L,W,M,M,M,M,M,M,M,M,8.0,1.0,2,1,ND,ND,1,1
2000-09-16,Santander,La Coruna,0,3,A,2.62,3.1,2.37,2,2,2,0,1,3,D,W,M,M,M,M,M,M,M,M,19.0,2.0,2,1,ND,ND,1,1
2000-09-16,Valencia,Mallorca,4,0,H,1.57,3.5,5.0,1,1,2,1,0,1,L,D,M,M,M,M,M,M,M,M,5.0,3.0,2,1,ND,ND,1,1
2000-09-16,Valladolid,Numancia,2,0,H,1.72,3.4,4.0,1,1,1,0,1,3,D,W,M,M,M,M,M,M,M,M,16.0,20.0,2,1,ND,ND,1,1
2000-09-17,Alaves,Villarreal,0,1,A,1.5,3.6,5.5,3,1,0,5,3,0,W,L,M,M,M,M,M,M,M,M,10.0,7.0,2,1,ND,ND,1,1
