Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,WHH,WHD,WHA,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2000-09-30,Bari,Verona,1,1,D,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.83,3.0,4.0,14.0,9.0,1,1,,,0,0
2000-09-30,Napoli,Juventus,1,2,A,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,3.75,2.8,2.0,18.0,2.0,1,1,ND,ND,1,1
2000-01-10,Atalanta,Lazio,2,2,D,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,4.0,3.1,1.8,18.0,1.0,1,1,ND,ND,1,1
2000-01-10,Milan,Vicenza,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.25,4.33,11.0,3.0,16.0,1,1,ND,ND,1,1
2000-01-10,Parma,Fiorentina,2,2,D,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.72,3.1,4.5,5.0,7.0,1,1,ND,ND,1,1
2000-01-10,Perugia,Lecce,1,1,D,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.9,2.87,4.0,10.0,13.0,1,1,ND,ND,1,1
2000-01-10,Reggina,Inter,2,1,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,4.0,2.87,1.9,12.0,4.0,1,1,ND,ND,1,1
2000-01-10,Roma,Bologna,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.36,3.75,8.0,6.0,11.0,1,1,ND,ND,1,1
2000-01-10,Udinese,Brescia,4,2,H,0,0,0,0,0,0,M,M,M,M,M,M,M,M,M,M,1.53,3.4,5.5,8.0,18.0,1,1,ND,ND,1,1
2000-10-14,Inter,Napoli,3,1,H,1,1,2,2,0,0,L,M,M,M,M,L,M,M,M,M,1.33,4.0,8.0,4.0,18.0,2,1,ND,ND,1,1
2000-10-14,Lazio,Perugia,3,0,H,2,1,2,1,1,1,D,M,M,M,M,D,M,M,M,M,1.2,5.0,11.0,1.0,10.0,2,1,ND,ND,1,1
2000-10-15,Bologna,Milan,2,1,H,0,2,2,0,0,3,L,M,M,M,M,W,M,M,M,M,3.2,2.8,2.2,11.0,3.0,2,1,ND,ND,1,1
2000-10-15,Brescia,Parma,0,0,D,2,2,4,2,0,1,L,M,M,M,M,D,M,M,M,M,3.25,2.75,2.2,18.0,5.0,2,1,ND,ND,1,1
2000-10-15,Fiorentina,Reggina,2,1,H,2,2,2,1,1,3,D,M,M,M,M,W,M,M,M,M,1.36,3.75,8.0,7.0,12.0,2,1,ND,ND,1,1
2000-10-15,Juventus,Bari,2,0,H,2,1,1,1,3,1,W,M,M,M,M,D,M,M,M,M,1.25,4.5,10.0,2.0,14.0,2,1,ND,ND,1,1
2000-10-15,Lecce,Roma,0,4,A,1,2,1,0,1,3,D,M,M,M,M,W,M,M,M,M,3.3,2.87,2.1,13.0,6.0,2,1,ND,ND,1,1
2000-10-15,Verona,Udinese,1,1,D,1,4,1,2,1,3,D,M,M,M,M,W,M,M,M,M,2.4,2.8,2.87,9.0,8.0,2,1,ND,ND,1,1
2000-10-15,Vicenza,Atalanta,1,2,A,0,2,2,2,0,1,L,M,M,M,M,D,M,M,M,M,2.1,2.8,3.4,16.0,18.0,2,1,ND,ND,1,1
2000-10-21,Milan,Juventus,2,2,D,3,4,2,1,3,6,L,W,M,M,M,W,W,M,M,M,2.2,2.87,3.1,3.0,2.0,3,1,ND,ND,1,1
2000-10-21,Udinese,Inter,3,0,H,5,4,3,3,4,3,D,W,M,M,M,W,L,M,M,M,2.8,2.75,2.5,8.0,4.0,3,1,ND,ND,1,1
2000-10-22,Bari,Atalanta,0,2,A,1,4,3,3,1,4,L,D,M,M,M,W,D,M,M,M,2.1,2.8,3.4,14.0,18.0,3,1,ND,ND,1,1
2000-10-22,Brescia,Fiorentina,1,1,D,2,4,4,3,1,4,D,L,M,M,M,W,D,M,M,M,2.75,2.9,2.4,18.0,7.0,3,1,ND,ND,1,1
2000-10-22,Napoli,Bologna,1,5,A,2,2,5,3,0,3,L,L,M,M,M,W,L,M,M,M,2.25,3.0,2.87,18.0,11.0,3,1,ND,ND,1,1
2000-10-22,Perugia,Parma,3,1,H,1,2,4,2,1,2,L,D,M,M,M,D,D,M,M,M,3.75,2.8,2.0,10.0,5.0,3,1,ND,ND,1,1
2000-10-22,Reggina,Lecce,0,1,A,3,1,3,5,3,1,L,W,M,M,M,L,D,M,M,M,1.9,2.87,4.0,12.0,13.0,3,1,ND,ND,1,1
2000-10-22,Roma,Vicenza,3,1,H,6,1,0,4,6,0,W,W,M,M,M,L,L,M,M,M,1.2,5.0,11.0,6.0,16.0,3,1,ND,ND,1,1
2000-10-22,Verona,Lazio,2,0,H,2,5,2,2,2,4,D,D,M,M,M,W,D,M,M,M,4.0,2.87,1.9,9.0,1.0,3,1,ND,ND,1,1
2000-01-11,Atalanta,Verona,3,0,H,6,4,3,2,7,5,W,W,D,M,M,W,D,D,M,M,1.83,2.87,4.33,18.0,9.0,4,1,ND,ND,1,1
2000-01-11,Bologna,Reggina,2,0,H,7,3,4,4,6,3,W,W,L,M,M,L,L,W,M,M,1.44,3.5,7.0,11.0,12.0,4,1,ND,ND,1,1
2000-01-11,Fiorentina,Bari,2,2,D,5,1,4,5,5,1,D,W,D,M,M,L,L,D,M,M,1.44,3.5,7.0,7.0,14.0,4,1,ND,ND,1,1
2000-01-11,Inter,Roma,2,0,H,4,9,6,1,3,9,L,W,L,M,M,W,W,W,M,M,2.6,2.9,2.5,4.0,6.0,4,1,ND,ND,1,1
2000-01-11,Juventus,Udinese,1,2,A,6,8,3,3,7,7,D,W,W,M,M,W,D,W,M,M,1.44,3.3,7.5,2.0,8.0,4,1,ND,ND,1,1
2000-01-11,Lazio,Brescia,2,1,H,5,3,4,5,4,2,L,W,D,M,M,D,D,L,M,M,1.22,5.0,9.5,1.0,18.0,4,1,ND,ND,1,1
2000-01-11,Lecce,Napoli,1,1,D,2,3,5,10,4,0,W,L,D,M,M,L,L,L,M,M,1.7,3.0,5.0,13.0,18.0,4,1,ND,ND,1,1
2000-01-11,Parma,Milan,2,0,H,3,5,5,4,2,4,L,D,D,M,M,D,L,W,M,M,2.5,2.8,2.75,5.0,3.0,4,1,ND,ND,1,1
2000-01-11,Vicenza,Perugia,1,0,H,2,4,7,5,0,4,L,L,L,M,M,W,L,D,M,M,1.75,3.1,4.3,16.0,10.0,4,1,ND,ND,1,1
2000-04-11,Fiorentina,Perugia,3,4,A,7,4,6,6,6,4,D,D,W,D,M,L,W,L,D,M,1.4,3.6,7.5,7.0,10.0,5,1,ND,ND,1,1
2000-04-11,Lazio,Bologna,2,0,H,7,9,5,4,7,9,W,L,W,D,M,W,W,W,L,M,1.36,3.75,8.0,1.0,11.0,5,1,ND,ND,1,1
2000-05-11,Bari,Parma,0,1,A,3,5,7,5,2,5,D,L,L,D,M,W,L,D,D,M,2.75,2.9,2.4,14.0,5.0,5,1,ND,ND,1,1
2000-05-11,Brescia,Roma,2,4,A,4,9,7,3,2,9,L,D,D,L,M,L,W,W,W,M,3.75,2.8,2.0,18.0,6.0,5,1,ND,ND,1,1
2000-05-11,Milan,Atalanta,3,3,D,5,9,6,3,4,10,L,D,L,W,M,W,W,W,D,M,1.36,4.0,7.0,3.0,18.0,5,1,ND,ND,1,1
2000-05-11,Napoli,Vicenza,1,2,A,4,3,11,7,1,3,D,L,L,L,M,W,L,L,L,M,1.83,3.0,4.0,18.0,16.0,5,1,ND,ND,1,1
2000-05-11,Reggina,Juventus,0,2,A,3,7,6,5,3,7,L,L,L,W,M,L,D,W,W,M,3.4,2.8,2.1,12.0,2.0,5,1,ND,ND,1,1
2000-05-11,Udinese,Lecce,2,0,H,10,3,4,6,10,5,W,W,D,W,M,D,W,L,D,M,1.44,3.6,6.5,8.0,13.0,5,1,ND,ND,1,1
